scale,beta,group,tensor,cosine,relative_error,bp_norm,ep_norm,ep_bp_norm_ratio
2.0,0.01,block_1/drn,W1,1.0002454574494906,0.9375015949653306,4.705498923840423e-08,2.9413684821122388e-09,0.06250917341006683
2.0,0.01,block_1/drn,b0,0.9999999003974082,0.937499982341249,0.00015451172657776624,9.656970178184565e-06,0.06249991759249536
2.0,0.01,block_1/drn,b1,0.9980746476257364,0.730992133828661,0.00027238830807618797,7.346831262111664e-05,0.26971903875025094
2.0,0.01,block_1/drn,b2,1.000053567248861,9.517978741173573e-08,0.013303561136126518,0.013303562067449093,1.0000000700055094
4.0,0.001,head,module.2.weight,1.0050245802023616,0.0,4.0660768974021266e-08,4.0660768974021266e-08,1.0
4.0,0.001,head,module.2.bias,0.9999999729364742,0.0,0.3451355993747711,0.3451355993747711,1.0
4.0,0.001,head,module.4.weight,0.9999998960665483,0.0,0.01566709205508232,0.01566709205508232,1.0
4.0,0.001,head,module.4.bias,0.9999999345522926,0.0,0.6322246193885803,0.6322246193885803,1.0
4.0,0.001,block_0/ff,base_ff.0.weight,nan,1.0,2.997564002571451e-11,0.0,0.0
4.0,0.001,block_0/ff,base_ff.0.bias,nan,1.0,2.8762285955719058e-11,0.0,0.0
4.0,0.001,block_0/drive,drive_scale,nan,1.0,3.0636104764170113e-11,0.0,0.0
4.0,0.001,block_0/drn,W0,nan,1.0,9.710996451417486e-10,0.0,0.0
4.0,0.001,block_0/drn,W1,0.0011764979089127418,1.0736453171496494,2.6740634151423137e-09,1.0481407963780498e-09,0.39196557211126115
4.0,0.001,block_0/drn,b0,nan,1.0,7.984149452688882e-10,0.0,0.0
4.0,0.001,block_0/drn,b1,0.002817714862169465,1.3314131256629589,4.61240068361235e-09,4.067383763128873e-09,0.8818366057355128
4.0,0.001,block_0/drn,b2,0.01666202316791932,1.000868395333526,9.784334054074861e-08,6.022577547781793e-09,0.06155326989549772
4.0,0.001,block_1/ff,base_ff.0.weight,0.9822411950685117,0.9385037409143088,3.513764973428479e-11,2.202536980924763e-12,0.06268310480583127
4.0,0.001,block_1/ff,base_ff.0.bias,0.9948416487259794,0.9382265741724292,6.813277195760747e-07,4.2320671411744115e-08,0.0621150001618549
